Name,Profit2016,Profit2017,Energy2016,Energy2017,Deprication2012,Deprication2013,Investments2012,Investments2013,Costs2012,Costs2013,Earnings2012,Earnings2013
Белгородская область,14.51,13.68,15258.8,14576.7,41.9,43.3,88929,83717,7.5,8,21659,23735
Брянская область,6.99,9.58,3881.9,3900.0,46,45.6,36974,48711,9.3,10.2,17469,20152
Владимирская область,9.55,10.38,7138.2,7110.5,43.2,43.7,42761,46060,11.2,11.7,16229,18796
Воронежская область,8.9,7.64,11278.0,11334.5,44.7,43,78223,93050,8.3,7.3,18948,22056
Ивановская область,2.38,3.81,3508.8,3521.6,39.3,42.2,27353,30210,10.9,10,16015,18123
Калужская область,2.96,3.69,7184.1,8154.5,39.1,35.8,95312,89396,7.4,7.9,20742,23182
Костромская область,10.82,9.48,3716.2,3714.2,45.3,48.4,32059,33832,8,8.3,15867,17575
Курская область,16.5,16.08,9436.3,9225.2,49.1,47.9,59477,63213,8.9,10.4,18866,20809
Липецкая область,15.11,13.91,12637.6,12789.3,51.2,49.2,80173,87033,9.9,9,19829,22222
Московская область,6.29,6.66,43960.2,47159.9,39.7,40.5,73822,81034,12.1,12.6,30572,32739
Орловская область,11.65,10.66,2710.0,2747.1,46.1,48,51928,56457,8.9,9.7,16827,18262
Рязанская область,9.61,10.71,6489.6,6507.7,51.9,51,58179,62008,12.3,11.8,17652,19828
Смоленская область,8.31,5.82,6307.0,6381.9,44.6,47,57714,57505,12.2,10.5,18305,19982
Тамбовская область,16.43,9.96,3573.7,3600.7,55.9,53.7,76839,91452,8.5,8.3,17449,19834
Тверская область,3.39,3.95,8502.4,8914.5,38.7,41,60131,60560,10.4,10.4,17282,19106
Тульская область,15.04,11.04,9902.5,9895.9,44.5,45.3,54637,58917,10.2,10.6,19340,20903
Ярославская область,9.35,9.22,8636.1,8920.5,47.8,48,63726,58395,10.2,10.7,18605,21127
Город Москва столица Российской Федерации город федерального значения,6.38,4.84,55488.2,56635.4,33.7,33.2,102374,117245,6.7,6.6,48935,54869
Республика Карелия,11.44,14.85,7967.7,7926.2,41.5,43.4,53183,47163,9.7,9.8,20058,21494
Республика Коми,10.08,9.47,9091.9,9082.9,44.2,46.2,262327,185496,12.3,11,27040,29335
Архангельская область,11.98,14.8,9985.1,10050.9,38.4,41,134541,115325,8.5,8.6,23142,26262
Вологодская область,19.41,16.48,15046.5,14958.7,40.9,43.1,126129,49511,11.5,11.5,18248,20513
Калининградская область,8.78,7.53,4469.4,4437.0,31.5,34.7,75471,67583,7.3,7.1,19456,20642
Ленинградская область,13.96,14.15,19793.1,19832.7,32.6,32.4,189795,133967,10.6,12.5,17967,20161
Мурманская область,38.63,38.7,12351.5,12797.1,37,39.5,92389,79528,11.1,11.7,28932,32912
Новгородская область,16.33,12.53,4518.8,4466.8,42.4,43.8,71679,84302,9.8,9.8,19547,21392
Псковская область,5.42,4.82,2016.4,2132.0,39.9,40.4,50682,41314,8.6,10.2,16294,17804
Город Санкт-Петербург город федерального значения,5.65,5.79,26759.5,28204.5,39.2,36.8,70556,72220,9.1,9.4,27834,31407
Республика Адыгея (Адыгея),5.72,5.25,1451.4,1434.6,43.6,42.3,38120,35834,7.6,8.7,17071,18512
Республика Калмыкия,-0.43,32.01,489.9,504.4,48.2,49.1,48439,51805,7.2,9.2,10190,11311
Республика Крым,8.16,2.45,5678.3,5861.1,0,0,0,0,0,0,0,0
Краснодарский край,10.5,9.92,23539.6,23233.0,38,30.7,150448,169025,10,9.4,21686,25777
Астраханская область,12.22,8.47,4442.1,4316.8,47.5,47.7,80505,113765,6.7,6.6,17789,19777
Волгоградская область,9.82,7.46,13772.9,13269.6,51.3,51.5,52591,51551,8.9,9.5,16011,17590
Ростовская область,7.93,7.2,18717.5,18762.9,40.6,42.2,48838,57046,10.9,11,18107,20995
Город федерального значения Севастополь,-0.86,7.75,1319.2,1358.1,0,0,0,0,0,0,0,0
Республика Дагестан,7.83,7.32,6335.0,6393.2,39.7,42.1,51981,60344,5.9,5.4,20730,21717
Республика Ингушетия*,1.31,-0.24,715.4,734.1,54.2,50.5,33864,29350,5.9,5.5,12322,13821
Кабардино-Балкарская Республика,-4.17,-8.88,1609.0,1624.9,35.1,33.8,29863,25694,8.6,9.4,13717,15297
Карачаево-Черкесская Республика,1,2.49,1359.7,1348.6,35.6,37.6,38195,39922,8.7,9.8,13388,14664
Республика Северная Осетия-Алания,8.39,6.86,1783.7,1458.5,42.4,47.3,30882,40834,9,8.3,16165,17788
Чеченская Республика*,6.18,2.54,2636.9,2684.3,53.1,50.5,41417,30823,1,4.9,15274,17188
Ставропольский край,-10.27,-5.46,10264.2,10429.8,51.7,50,41349,44512,10.2,8.9,17088,19768
Республика Башкортостан,10.45,9.76,27135.3,27922.4,52.1,52.2,57521,65489,5.4,6.1,21267,23892
Республика Марий Эл,10.45,7.19,2589.3,2765.8,60.6,58.7,45787,65446,9.8,8.9,12532,14517
Республика Мордовия,3.87,5.03,3339.9,3449.7,57.3,56.4,60613,65859,9.5,8.6,13081,14433
Республика Татарстан (Татарстан),12.11,11.03,28887.2,29475.0,43.7,43.4,123472,135825,9.1,8,24004,26161
Удмуртская Республика,11.78,12.05,9632.7,9743.8,61,62.3,42309,47332,8.5,7.5,16694,18660
